Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,src_Name,src_IATA,src_City,src_Country,src_Latitude,src_Longitude,dest_Name,dest_IATA,dest_City,dest_Country,dest_Latitude,dest_Longitude
LH,3320,PRN,1742,MUC,346,Y,0,319,Priština International Airport,PRN,Pristina,Serbia,42.5728,21.035801,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,RLG,772,MUC,346,Y,0,CR9 E95,Rostock-Laage Airport,RLG,Laage,Germany,53.9182014465,12.2783002853,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,ROB,1063,BRU,302,Y,0,333,Roberts International Airport,ROB,Monrovia,Liberia,6.23379,-10.3623,Brussels Airport,BRU,Brussels,Belgium,50.9014015198,4.48443984985
LH,3320,RTM,591,MUC,346,Y,0,CR7 CR9,Rotterdam The Hague Airport,RTM,Rotterdam,Netherlands,51.956902,4.43722,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,SBZ,1658,MUC,346,Y,0,CR9,Sibiu International Airport,SBZ,Sibiu,Romania,45.78559875488281,24.09129905700684,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,SCN,349,HAM,342,Y,0,DH4,Saarbrücken Airport,SCN,Saarbruecken,Germany,49.2145996094,7.10950994492,Hamburg Airport,HAM,Hamburg,Germany,53.630401611328004,9.988229751586902
LH,3320,SCN,349,LUX,629,Y,0,DH4,Saarbrücken Airport,SCN,Saarbruecken,Germany,49.2145996094,7.10950994492,Luxembourg-Findel International Airport,LUX,Luxemburg,Luxembourg,49.6233333,6.204444400000002
LH,3320,SCN,349,TXL,351,Y,0,DH4,Saarbrücken Airport,SCN,Saarbruecken,Germany,49.2145996094,7.10950994492,Berlin-Tegel Airport,TXL,Berlin,Germany,52.5597,13.2877
LH,3320,SFO,3469,LHR,507,Y,0,777,San Francisco International Airport,SFO,San Francisco,United States,37.61899948120117,-122.375,London Heathrow Airport,LHR,London,United Kingdom,51.4706,-0.461941
LH,3320,SKG,1486,ATH,3941,Y,0,321,Thessaloniki Macedonia International Airport,SKG,Thessaloniki,Greece,40.51969909667969,22.97089958190918,Eleftherios Venizelos International Airport,ATH,Athens,Greece,37.9364013672,23.944499969499997
LH,3320,SKG,1486,DUS,345,Y,0,321,Thessaloniki Macedonia International Airport,SKG,Thessaloniki,Greece,40.51969909667969,22.97089958190918,Düsseldorf Airport,DUS,Duesseldorf,Germany,51.289501,6.766780000000002
